job_company,job_date,job_salary,job_title
萬國專利商標事務所,4/18,"月薪 35,000~45,000元",資訊專利工程師
中國醫藥大學附設醫院,4/18,待遇面議,1JZ0-人工智慧醫學影像診斷中心 研發工程師(系統與網路工程師)
良友旅行社股份有限公司,4/18,"月薪 35,000~42,000元",台北-C#網站開發工程師
京麒數位科技股份有限公司,4/18,"月薪 26,000~36,000元",測試工程師
鈺立微電子股份有限公司,4/18,待遇面議,演算法開發主管
經貿聯網科技股份有限公司,4/18,待遇面議,DevOps Engineer - Fintech Lab (台北/台中)
承隆能源科技股份有限公司,4/18,待遇面議,節能事業體自動控制工程師
艾笛森光電股份有限公司,4/18,待遇面議,SAP系統主管/工程師
"Super Micro Computer, Inc._美超微電腦股份有限公司",4/18,待遇面議,【BIOS】(Sr.) BIOS Engineer(中和)-TC18058
精聯電子股份有限公司,4/18,"月薪 40,000~55,000元",軟體專案管理師－A3701
POSITIVE GRID_佳格數位科技有限公司,4/18,待遇面議,iOS研發工程師/iOS Developer
高鐵_台灣高速鐵路股份有限公司,4/18,待遇面議,應用系統工程師(企業資源系統課)
慧友電子股份有限公司,4/18,待遇面議,iOS App Developer
鑫聯網國際認證股份有限公司,4/18,"月薪 30,000~50,000元",軟體設計維護工程師(高雄)
虹光精密工業股份有限公司,4/18,"月薪 30,000~99,000元",R070-韌體工程師
Hewlett Packard Enterprise_慧與科技股份有限公司,4/18,待遇面議,UEFI Firmware Engineer - Internship - 1035388
鴻海集團_英屬開曼群島商鴻騰精密科技股份有限公司台灣分公司,4/18,"月薪 40,000~80,000元",GUI/前端工程師
"Super Micro Computer, Inc._美超微電腦股份有限公司",4/18,待遇面議,【FW】(Sr.) Firmware Engineer(中和)-TC18017
東佑達自動化科技股份有限公司,4/18,待遇面議,UI軟體工程師 (新竹：台元科技園區)
圓剛科技股份有限公司,4/18,待遇面議,Android軟體開發工程師
虹光精密工業股份有限公司,4/18,"月薪 30,000~99,000元",R070-軟體工程師
POSITIVE GRID_佳格數位科技有限公司,4/18,"月薪 70,000~110,000元",資深韌體工程師/Senior Embedded Firmware Developer - MCU and RTOS
精誠資訊股份有限公司,4/18,"月薪 28,000~45,000元",數位教學設計師-K108
系通科技股份有限公司,4/18,待遇面議,軟體/韌體工程師
天成醫療社團法人天晟醫院,4/18,待遇面議,互聯網工程師
水靈科技股份有限公司,4/18,待遇面議,專案主管
"Super Micro Computer, Inc._美超微電腦股份有限公司",4/18,"月薪 32,000~70,000元",【MBT】Production Software Engineer(八德)-TC17322
hyve solutions_海峰電腦股份有限公司,4/18,待遇面議,Server BIOS Engineer - Hyve Solutions
倍利科技股份有限公司,4/18,待遇面議,演算法開發主管/技術主管(新竹)
國立交通大學_資訊技術服務中心,4/18,"月薪 35,000~39,000元",計畫技術員 (網路工程師)
友達光電股份有限公司,4/18,待遇面議,軟體工程師(台北辦公室)
悠實國際數位有限公司,4/18,"時薪 400~2,000元/小時",A03【兼職】樂高機器人程式課╱授課老師
圓剛科技股份有限公司,4/18,待遇面議,演算法軟體工程師(歡迎新鮮人加入)
鉑鈞投資發展有限公司,4/18,"月薪 25,000~40,000元",技術客服工程師
華藝科技股份有限公司,4/18,待遇面議,軔體程式設計師
聚眾聯合科技股份有限公司,4/18,待遇面議,Linux設計人員
哈瑪星科技股份有限公司,4/18,"月薪 30,000~45,000元",Java程式設計師-台北(HP)
信星鞋業_英屬維京群島商伯星國際股份有限公司台灣分公司,4/18,"月薪 35,000~50,000元",助理工程師
凌群電腦股份有限公司,4/18,"月薪 28,000~60,000元",軟體工程師(金控-臺中)
逸亞管理顧問股份有限公司,4/18,待遇面議,誠徵 Unity3D開發工程師 人才
白吃貓股份有限公司,4/18,"月薪 30,000~50,000元",MIS工程師
利頡資訊科技有限公司,4/18,"月薪 80,000~100,000元","資深後端工程師 **月薪80,000~100,000**"
林園酒店股份有限公司,4/18,"月薪 30,000~40,000元",【餐飲部】資料庫程式設計
耀騰印刷事業股份有限公司,4/18,待遇面議,IT製程工程師
哈瑪星科技股份有限公司,4/18,待遇面議,系統分析師-台北(HN)
哈瑪星科技股份有限公司,4/18,待遇面議,資深軟體程式設計師-台北(HP)
國泰綜合證券股份有限公司,4/18,待遇面議,應用系統工程師
永磐科技股份有限公司,4/18,待遇面議,(PM)專案產品經理
凌群電腦股份有限公司,4/18,待遇面議,專案經理( L5)
元皓能源股份有限公司,4/18,待遇面議,app程式設計師
"Super Micro Computer, Inc._美超微電腦股份有限公司",4/18,待遇面議,【LAB】(Sr.) Software Engineer - Security(中和)
中國醫藥大學附設醫院,4/18,待遇面議,1JZ0-人工智慧醫學影像診斷中心 研發工程師(系統工程師)
聯華電信股份有限公司,4/18,待遇面議,108年度研發替代役-後端開發工程師
瑄品股份有限公司,4/18,待遇面議,資深PHP 程式設計師
日本寶宏株式會社,4/18,待遇面議,Object-C/IOS/Android 軟體研發工程師
OmniVision_台灣豪威科技有限公司,4/18,待遇面議,Sr. IT Engineer
昊聲訊息技術有限公司,4/18,"月薪 30,000~55,000元",[第四事業處] c#程式設計工程師(工作地點:高雄)
LA NEW_老牛皮國際股份有限公司,4/18,"月薪 36,000~42,000元",全方位足研管理師
祥儀企業股份有限公司,4/18,"月薪 34,000~38,000元",馬達驅動韌體工程師
鈞陽系統整合有限公司,4/18,"月薪 32,000~45,000元",軟體設計工程師
美商連科股份有限公司,4/18,"月薪 80,000~120,000元",資深軟體工程師 (Python)
凌群電腦股份有限公司,4/18,"月薪 28,000~60,000元",駐點工程師(約聘)
中國醫藥大學附設醫院,4/18,待遇面議,1JZ0-人工智慧醫學影像診斷中心 研發工程師(前端工程師)
樹碼系統家具 藝田空間設計_澳大企業有限公司,4/18,待遇面議,iOS APP 軟體工程師
良興股份有限公司,4/18,"月薪 35,000~60,000元",電子商務網站工程師
東南旅行社股份有限公司,4/18,待遇面議,資深網站前端工程師(行銷企劃部)
凌群電腦股份有限公司,4/18,"月薪 37,000~45,000元",研發替代役-軟體工程師
遊戲橘子數位科技股份有限公司,4/18,待遇面議,電商平台ASP.NET工程師(JOB)
岡豐股份有限公司,4/18,"月薪 25,000~45,000元",【北區】電機PLC軟體開發工程師/資深電機PLC軟體開發工程師
卓越動力資訊股份有限公司,4/18,待遇面議,雲端服務開發工程師
Tata Consultancy Services Limited Taiwan Branch_印度商塔塔顧問服務有限公司台灣分公司,4/18,待遇面議,Angular前端工程師Front End Web Developer
哈瑪星科技股份有限公司,4/18,"月薪 30,000~45,000元",軟體程式設計師-台北(HP)
華碩電腦股份有限公司,4/18,"月薪 28,000~60,000元",AD30050 應用系統程式設計師
幣聖科技有限公司,4/18,待遇面議,（SD）System Designer
